Model,ROC_AUC,Log_Loss,Accuracy,F1_Score,Precision,Recall,PR_AUC,Brier_Score
LogisticRegression,0.54063995215311,0.579336359528543,0.7342995169082126,0.8467966573816156,0.7342995169082126,1.0,0.7694450764248726,0.19532434383893663
Baseline (Home Win),0.5,0.6511553014822791,0.7342995169082126,0.8467966573816156,0.7342995169082126,1.0,0.7342995169082126,0.22907004830917876
XGBClassifier,0.4899671052631579,0.5811130717711538,0.7342995169082126,0.8467966573816156,0.7342995169082126,1.0,0.7546349996197143,0.19596514105796814
RandomForestClassifier,0.4882775119617225,0.582108450427758,0.7342995169082126,0.8467966573816156,0.7342995169082126,1.0,0.7375183077182089,0.19632177029477235
